[2022-04-17 13:53:55] This is codeql execute queries -J-Xmx2048M --off-heap-ram=2048 --verbosity=progress --logdir=/Users/zhuangpenghai/Downloads/CodeQL/Vuln/micro/log --evaluator-log-level=1 --insecurely-execute-ml-model-checksums= --warnings=show --qlconfig-file=/Users/zhuangpenghai/Downloads/CodeQL/qlconfig.yml -- /Users/zhuangpenghai/Downloads/CodeQL/Vuln/micro/db-java /Users/zhuangpenghai/Downloads/CodeQL/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql
[2022-04-17 13:53:55] Calling plumbing command: codeql resolve queries --format=json -- /Users/zhuangpenghai/Downloads/CodeQL/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql
[2022-04-17 13:53:56] Plumbing command codeql resolve queries completed:
                      [
                        "/Users/zhuangpenghai/Downloads/CodeQL/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql"
                      ]
[2022-04-17 13:53:56] Refusing fancy output: $CODEQL_ISATTY terminal indication is missing
[2022-04-17 13:53:56] Creating executor with 1 threads.
[2022-04-17 13:53:56] Calling plumbing command: codeql resolve library-path --qlconfig-file=/Users/zhuangpenghai/Downloads/CodeQL/qlconfig.yml --query=/Users/zhuangpenghai/Downloads/CodeQL/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql --format=json
[2022-04-17 13:53:56] [DETAILS] resolve library-path> Resolving query at normalized path /Users/zhuangpenghai/Downloads/CodeQL/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql.
[2022-04-17 13:53:56] [DETAILS] resolve library-path> Found enclosing pack 'micro' at /Users/zhuangpenghai/Downloads/CodeQL.
[2022-04-17 13:53:56] [DETAILS] resolve library-path> Adding compilation cache at /Users/zhuangpenghai/Downloads/CodeQL/.cache.
[2022-04-17 13:53:56] [DETAILS] resolve library-path> Resolving library dependencies from /Users/zhuangpenghai/Downloads/CodeQL/qlpack.yml.
[2022-04-17 13:53:57] [DETAILS] resolve library-path> QL pack dependencies for /Users/zhuangpenghai/Downloads/CodeQL resolved OK.
[2022-04-17 13:53:57] [DETAILS] resolve library-path> Found dbscheme through QL packs: /Users/zhuangpenghai/codeql-home/codeql-repo/java/ql/lib/config/semmlecode.dbscheme.
[2022-04-17 13:53:57] Plumbing command codeql resolve library-path completed:
                      {
                        "libraryPath" : [
                          "/Users/zhuangpenghai/Downloads/CodeQL",
                          "/Users/zhuangpenghai/codeql-home/codeql-repo/java/ql/lib",
                          "/Users/zhuangpenghai/codeql-home/codeql-repo/java/upgrades"
                        ],
                        "dbscheme" : "/Users/zhuangpenghai/codeql-home/codeql-repo/java/ql/lib/config/semmlecode.dbscheme",
                        "compilationCache" : [
                          "/Users/zhuangpenghai/Downloads/CodeQL/.cache"
                        ],
                        "relativeName" : "micro/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql",
                        "qlPackName" : "micro"
                      }
[2022-04-17 13:53:57] [PROGRESS] execute queries> Compiling query plan for /Users/zhuangpenghai/Downloads/CodeQL/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql.
[2022-04-17 13:53:57] [DETAILS] execute queries> Resolving imports for /Users/zhuangpenghai/Downloads/CodeQL/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql.
[2022-04-17 13:53:58] Resolved file set for /Users/zhuangpenghai/Downloads/CodeQL/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql hashes to 203436e077c3e19604cc2adba1b45e8b44aa6a01.
[2022-04-17 13:53:58] [DETAILS] execute queries> Checking QL for /Users/zhuangpenghai/Downloads/CodeQL/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql.
[2022-04-17 13:53:58] ExternalModuleBindingPass ...
[2022-04-17 13:53:59] ExternalModuleBindingPass time: 00:01.317
[2022-04-17 13:53:59] QLPredicateSynthesiser ...
[2022-04-17 13:53:59] QLPredicateSynthesiser time: 00:00.035
[2022-04-17 13:53:59] DeclarationBindingPass ...
[2022-04-17 13:54:00] DeclarationBindingPass time: 00:00.199
[2022-04-17 13:54:00] Fixed point time ...
[2022-04-17 13:54:00] Fixed point time time: 00:00.913
[2022-04-17 13:54:00] ReferenceBindingPass ...
[2022-04-17 13:54:01] ReferenceBindingPass time: 00:00.126
[2022-04-17 13:54:01] EntityTypeUpdateBindingPass ...
[2022-04-17 13:54:01] EntityTypeUpdateBindingPass time: 00:00.077
[2022-04-17 13:54:01] DeclarationBindingPass ...
[2022-04-17 13:54:01] DeclarationBindingPass time: 00:00.077
[2022-04-17 13:54:01] PredicateBodyBindingPass ...
[2022-04-17 13:54:01] PredicateBodyBindingPass time: 00:00.687
[2022-04-17 13:54:01] LanguagePragmaPropagationPass ...
[2022-04-17 13:54:01] LanguagePragmaPropagationPass time: 00:00.060
[2022-04-17 13:54:01] Ambiguity checks ...
[2022-04-17 13:54:02] Ambiguity checks time: 00:00.094
[2022-04-17 13:54:02] Ql checks ...
[2022-04-17 13:54:02] Ql checks time: 00:00.685
[2022-04-17 13:54:04] Compilation pipeline
[2022-04-17 13:54:04] Type Inference ...
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: Best number of iterations,Maximum number of runs,Number of BDD variables,Size of BDD for typefacts
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,0,0
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,18,21
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,9,9
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,0,0
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,765,1203
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,1,1
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,8,8
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,1,1
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,76,135
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,5,5
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,1,1
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,8,8
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,3,3
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,3,3
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,10,10
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,1,1
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,9,11
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,6,6
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,1,1
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,9,12
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,3,3
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,3,3
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,11,11
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,1,1
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,3,3
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,6,6
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,3,3
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,8,10
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,8,10
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,3,3
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,4,4
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,1,1
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,8,10
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,8,10
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,2,2
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,6,6
[2022-04-17 13:54:05] CSV_TYPE_HIERARCHY: 0,0,3,3
